At1,At2,Class
1.14,-0.114,b'-1.0'
-1.52,-1.15,b'1.0'
-1.05,0.72,b'-1.0'
-0.916,0.397,b'1.0'
-1.09,0.437,b'1.0'
-0.584,0.0937,b'1.0'
1.83,0.452,b'-1.0'
-1.25,-0.286,b'1.0'
1.7,1.21,b'1.0'
-0.482,-0.485,b'1.0'
1.79,-0.459,b'-1.0'
-0.122,-0.808,b'-1.0'
0.0809,1.93,b'1.0'
-0.541,-0.332,b'1.0'
-1.02,0.619,b'-1.0'
-0.768,-1.04,b'-1.0'
-1.69,-0.0461,b'1.0'
1.26,1.21,b'1.0'
0.724,0.989,b'-1.0'
0.444,1.99,b'-1.0'
-1.01,-1.36,b'-1.0'
-0.863,0.496,b'1.0'
1.16,-0.458,b'1.0'
-0.595,-0.651,b'1.0'
-0.77,0.364,b'1.0'
-0.871,-0.825,b'1.0'
0.996,-1.7,b'1.0'
1.28,0.691,b'-1.0'
0.925,0.895,b'-1.0'
-0.687,-1.29,b'-1.0'
1.74,0.964,b'1.0'
1.18,-0.335,b'1.0'
2.52,1.43,b'1.0'
1.71,-0.044,b'-1.0'
0.271,-0.591,b'1.0'
1.12,0.626,b'-1.0'
1.3,0.196,b'-1.0'
-1.59,-0.68,b'1.0'
0.408,0.0673,b'1.0'
1.13,1.48,b'-1.0'
0.763,0.921,b'-1.0'
-1.41,1.11,b'-1.0'
-0.75,-0.881,b'-1.0'
1.16,0.978,b'-1.0'
1.13,0.405,b'-1.0'
-0.522,-1.34,b'-1.0'
-1.41,0.894,b'-1.0'
0.00902,-0.434,b'1.0'
-2.14,-1.43,b'1.0'
-1.31,1.25,b'-1.0'
0.041,-1.13,b'-1.0'
0.0483,0.866,b'-1.0'
-2.11,0.193,b'-1.0'
0.522,1.46,b'-1.0'
0.0284,1.62,b'-1.0'
0.396,-0.606,b'1.0'
0.536,0.921,b'-1.0'
0.315,-0.182,b'1.0'
-0.123,-1.07,b'-1.0'
0.526,1.48,b'-1.0'
0.00665,0.0118,b'1.0'
-0.352,-0.49,b'1.0'
-0.0701,-1.23,b'-1.0'
-0.149,-1.2,b'-1.0'
0.785,0.0481,b'1.0'
-1.62,0.593,b'-1.0'
-0.0314,-1.01,b'-1.0'
-0.285,-1.1,b'-1.0'
1.33,1.51,b'1.0'
1.09,-1.37,b'1.0'
-0.223,-1.28,b'-1.0'
-0.0341,-1.07,b'-1.0'
1.22,1.13,b'-1.0'
-1.67,-1.26,b'1.0'
1.97,-0.772,b'-1.0'
-0.508,-0.715,b'1.0'
0.603,-0.108,b'1.0'
-0.323,-0.213,b'1.0'
-0.124,-1.12,b'-1.0'
-0.439,-0.961,b'-1.0'
0.201,0.0024,b'1.0'
0.812,0.708,b'-1.0'
0.888,0.817,b'-1.0'
0.0238,0.0836,b'1.0'
0.415,-1.0,b'-1.0'
-0.308,2.19,b'1.0'
0.767,-0.248,b'1.0'
1.23,-1.2,b'1.0'
1.33,1.63,b'1.0'
0.27,0.0491,b'1.0'
-1.69,-1.87,b'1.0'
0.495,-0.281,b'1.0'
-0.519,-0.799,b'-1.0'
-1.99,0.549,b'-1.0'
1.36,-0.732,b'1.0'
-1.03,0.654,b'-1.0'
0.431,-1.33,b'-1.0'
-0.0583,-1.15,b'-1.0'
-0.209,0.345,b'1.0'
1.26,-1.37,b'1.0'
-1.78,-0.378,b'1.0'
0.98,-0.0439,b'1.0'
-0.0536,1.6,b'-1.0'
-1.39,-0.451,b'1.0'
1.22,-0.361,b'1.0'
1.22,0.561,b'-1.0'
-0.838,0.356,b'1.0'
-0.446,-0.861,b'-1.0'
1.17,-1.39,b'1.0'
-0.0868,-1.33,b'-1.0'
-1.12,0.576,b'-1.0'
-0.28,-1.3,b'-1.0'
-0.0269,0.958,b'1.0'
-0.697,1.35,b'-1.0'
1.38,-1.74,b'1.0'
0.408,1.16,b'-1.0'
1.2,1.54,b'1.0'
2.07,1.02,b'1.0'
-0.462,-0.187,b'1.0'
1.27,0.589,b'-1.0'
-0.101,-0.765,b'-1.0'
-0.819,1.26,b'-1.0'
