Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
C_50100x100x3,0.57,119277,1192.77,5.87,0,l2
C_50100x100x3,0.59,126556,1265.56,6.29,1,l2
C_50100x100x3,0.62,135135,1351.35,6.78,2,l2
C_50100x100x3,0.65,142200,1422.0,7.53,3,l2
C_50100x100x3,0.66,149165,1491.65,7.88,4,l2
C_50100x100x3,0.68,158001,1580.01,8.05,5,l2
C_50100x100x3,0.7,165693,1656.93,8.45,6,l2
C_50100x100x3,0.71,170697,1706.97,9.23,7,l2
C_50100x100x3,0.72,176263,1762.63,9.51,8,l2
C_50100x100x3,0.73,182966,1829.66,9.55,9,l2
C_50100x100x3,0.74,188597,1885.97,10.13,10,l2
C_50100x100x3,0.75,194954,1949.54,10.73,11,l2
C_50100x100x3,0.75,200287,2002.87,10.77,12,l2
C_50100x100x3,0.76,207645,2076.45,11.22,13,l2
C_50100x100x3,0.78,215225,2152.25,11.66,14,l2
C_50100x100x3,0.79,220697,2206.97,11.77,15,l2
C_50100x100x3,0.79,225935,2259.35,12.15,16,l2
C_50100x100x3,0.8,232285,2322.85,12.57,17,l2
C_50100x100x3,0.81,238109,2381.09,12.81,18,l2
C_50100x100x3,0.82,245762,2457.62,13.25,19,l2
C_50100x100x3,0.83,250908,2509.08,13.48,20,l2
C_50100x100x3,0.84,256067,2560.67,13.92,21,l2
C_50100x100x3,0.84,261300,2613.0,14.14,22,l2
C_50100x100x3,0.85,266232,2662.32,14.37,23,l2
C_50100x100x3,0.85,272020,2720.2,14.65,24,l2
C_50100x100x3,0.86,277583,2775.83,14.91,25,l2
C_50100x100x3,0.86,282764,2827.64,15.36,26,l2
C_50100x100x3,0.87,288207,2882.07,15.7,27,l2
C_50100x100x3,0.88,293921,2939.21,15.87,28,l2
C_50100x100x3,0.88,298874,2988.74,16.3,29,l2
C_50100x100x3,0.88,303329,3033.29,16.75,30,l2
C_50100x100x3,0.88,309449,3094.49,17.11,31,l2
C_50100x100x3,0.89,315238,3152.38,17.19,32,l2
C_50100x100x3,0.89,321029,3210.29,17.39,33,l2
C_50100x100x3,0.9,326629,3266.29,17.7,34,l2
C_50100x100x3,0.9,331226,3312.26,18.17,35,l2
C_50100x100x3,0.9,336072,3360.72,18.28,36,l2
C_50100x100x3,0.91,340488,3404.88,18.45,37,l2
C_50100x100x3,0.91,346882,3468.82,18.85,38,l2
C_50100x100x3,0.91,351925,3519.25,19.3,39,l2
C_50100x100x3,0.92,357142,3571.42,19.69,40,l2
C_50100x100x3,0.92,361852,3618.52,19.91,41,l2
C_50100x100x3,0.93,365769,3657.69,20.06,42,l2
C_50100x100x3,0.93,371065,3710.65,20.59,43,l2
C_50100x100x3,0.93,375384,3753.84,20.7,44,l2
C_50100x100x3,0.93,380051,3800.51,20.88,45,l2
C_50100x100x3,0.94,385242,3852.42,21.44,46,l2
C_50100x100x3,0.94,391009,3910.09,21.79,47,l2
C_50100x100x3,0.94,395392,3953.92,21.47,48,l2
C_50100x100x3,0.94,399606,3996.06,22.62,49,l2
C_50100x100x3,0.94,403910,4039.1,22.12,50,l2
C_50100x100x3,0.95,408471,4084.71,22.33,51,l2
C_50100x100x3,0.95,413287,4132.87,22.74,52,l2
C_50100x100x3,0.95,417933,4179.33,23.28,53,l2
C_50100x100x3,0.95,422605,4226.05,23.18,54,l2
C_50100x100x3,0.95,427719,4277.19,23.38,55,l2
C_50100x100x3,0.95,431684,4316.84,23.55,56,l2
C_50100x100x3,0.96,436568,4365.68,24.0,57,l2
C_50100x100x3,0.96,441220,4412.2,24.28,58,l2
C_50100x100x3,0.96,444689,4446.89,24.57,59,l2
C_50100x100x3,0.96,448518,4485.18,25.19,60,l2
C_50100x100x3,0.96,452811,4528.11,24.93,61,l2
