Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
M_50100x2,0.99,3623,36.23,0.22,0,l2
M_50100x2,1.0,3785,37.85,0.22,1,l2
M_50100x2,1.0,3935,39.35,0.25,2,l2
M_50100x2,1.0,4087,40.87,0.26,3,l2
M_50100x2,1.0,4236,42.36,0.26,4,l2
M_50100x2,1.0,4360,43.6,0.3,5,l2
M_50100x2,1.0,4501,45.01,0.27,6,l2
M_50100x2,1.0,4646,46.46,0.27,7,l2
M_50100x2,1.0,4775,47.75,0.32,8,l2
M_50100x2,1.0,4901,49.01,0.32,9,l2
M_50100x2,1.0,5033,50.33,0.33,10,l2
M_50100x2,1.0,5166,51.66,0.34,11,l2
M_50100x2,1.0,5316,53.16,0.35,12,l2
M_50100x2,1.0,5439,54.39,0.35,13,l2
M_50100x2,1.0,5557,55.57,0.37,14,l2
M_50100x2,1.0,5686,56.86,0.38,15,l2
M_50100x2,1.0,5820,58.2,0.35,16,l2
M_50100x2,1.0,5952,59.52,0.28,17,l2
M_50100x2,1.0,6079,60.79,0.27,18,l2
M_50100x2,1.0,6208,62.08,0.38,19,l2
M_50100x2,1.0,6333,63.33,0.4,20,l2
M_50100x2,1.0,6458,64.58,0.41,21,l2
M_50100x2,1.0,6571,65.71,0.46,22,l2
M_50100x2,1.0,6694,66.94,0.44,23,l2
M_50100x2,1.0,6812,68.12,0.44,24,l2
M_50100x2,1.0,6936,69.36,0.46,25,l2
M_50100x2,1.0,7065,70.65,0.48,26,l2
M_50100x2,1.0,7178,71.78,0.5,27,l2
M_50100x2,1.0,7304,73.04,0.52,28,l2
M_50100x2,1.0,7434,74.34,0.49,29,l2
M_50100x2,1.0,7559,75.59,0.51,30,l2
M_50100x2,1.0,7676,76.76,0.39,31,l2
M_50100x2,1.0,7798,77.98,0.11,32,l2
M_50100x2,1.0,7925,79.25,0.11,33,l2
M_50100x2,1.0,8052,80.52,0.15,34,l2
M_50100x2,1.0,8178,81.78,0.11,35,l2
M_50100x2,1.0,8299,82.99,0.13,36,l2
M_50100x2,1.0,8410,84.1,0.11,37,l2
M_50100x2,1.0,8543,85.43,0.3,38,l2
M_50100x2,1.0,8655,86.55,0.59,39,l2
M_50100x2,1.0,8776,87.76,0.59,40,l2
M_50100x2,1.0,8904,89.04,0.59,41,l2
M_50100x2,1.0,9030,90.3,0.6,42,l2
M_50100x2,1.0,9153,91.53,0.62,43,l2
M_50100x2,1.0,9266,92.66,0.64,44,l2
M_50100x2,1.0,9373,93.73,0.62,45,l2
M_50100x2,1.0,9491,94.91,0.65,46,l2
M_50100x2,1.0,9606,96.06,0.65,47,l2
M_50100x2,1.0,9720,97.2,0.63,48,l2
M_50100x2,1.0,9848,98.48,0.68,49,l2
M_50100x2,1.0,9975,99.75,0.67,50,l2
M_50100x2,1.0,10089,100.89,0.68,51,l2
M_50100x2,1.0,10207,102.07,0.68,52,l2
M_50100x2,1.0,10331,103.31,0.68,53,l2
M_50100x2,1.0,10439,104.39,0.7,54,l2
M_50100x2,1.0,10551,105.51,0.68,55,l2
M_50100x2,1.0,10668,106.68,0.71,56,l2
M_50100x2,1.0,10785,107.85,0.75,57,l2
M_50100x2,1.0,10895,108.95,0.72,58,l2
M_50100x2,1.0,11015,110.15,0.77,59,l2
M_50100x2,1.0,11135,111.35,0.79,60,l2
M_50100x2,1.0,11239,112.39,0.76,61,l2
M_50100x2,1.0,11377,113.77,0.8,62,l2
M_50100x2,1.0,11497,114.97,0.67,63,l2
M_50100x2,1.0,11596,115.96,0.83,64,l2
M_50100x2,1.0,11702,117.02,0.81,65,l2
M_50100x2,1.0,11819,118.19,0.81,66,l2
M_50100x2,1.0,11935,119.35,0.81,67,l2
M_50100x2,1.0,12055,120.55,0.83,68,l2
M_50100x2,1.0,12152,121.52,0.83,69,l2
M_50100x2,1.0,12268,122.68,0.83,70,l2
M_50100x2,1.0,12389,123.89,0.84,71,l2
M_50100x2,1.0,12505,125.05,0.88,72,l2
M_50100x2,1.0,12617,126.17,0.88,73,l2
M_50100x2,1.0,12728,127.28,0.88,74,l2
M_50100x2,1.0,12847,128.47,0.89,75,l2
M_50100x2,1.0,12968,129.68,0.92,76,l2
M_50100x2,1.0,13078,130.78,0.89,77,l2
M_50100x2,1.0,13187,131.87,0.94,78,l2
M_50100x2,1.0,13306,133.06,0.93,79,l2
M_50100x2,1.0,13408,134.08,0.92,80,l2
M_50100x2,1.0,13520,135.2,0.95,81,l2
M_50100x2,1.0,13622,136.22,0.87,82,l2
M_50100x2,1.0,13737,137.37,0.96,83,l2
M_50100x2,1.0,13865,138.65,0.95,84,l2
M_50100x2,1.0,13963,139.63,0.97,85,l2
M_50100x2,1.0,14069,140.69,0.97,86,l2
M_50100x2,1.0,14190,141.9,0.97,87,l2
M_50100x2,1.0,14310,143.1,0.99,88,l2
M_50100x2,1.0,14421,144.21,0.99,89,l2
M_50100x2,1.0,14537,145.37,1.02,90,l2
M_50100x2,1.0,14656,146.56,1.0,91,l2
M_50100x2,1.0,14776,147.76,1.02,92,l2
M_50100x2,1.0,14879,148.79,1.02,93,l2
M_50100x2,1.0,15006,150.06,1.04,94,l2
M_50100x2,1.0,15120,151.2,1.03,95,l2
M_50100x2,1.0,15228,152.28,1.03,96,l2
M_50100x2,1.0,15342,153.42,1.03,97,l2
M_50100x2,1.0,15456,154.56,1.08,98,l2
M_50100x2,1.0,15585,155.85,1.07,99,l2
