Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
MNIST,0.89,21459,214.59,30.3,0,l2
MNIST,0.91,22964,229.64,33.06,1,l2
MNIST,0.92,24388,243.88,35.54,2,l2
MNIST,0.93,25921,259.21,37.21,3,l2
MNIST,0.94,27363,273.63,39.03,4,l2
MNIST,0.95,28791,287.91,41.5,5,l2
MNIST,0.95,30016,300.16,43.54,6,l2
MNIST,0.96,31442,314.42,45.44,7,l2
MNIST,0.96,32918,329.18,47.63,8,l2
MNIST,0.97,34124,341.24,49.5,9,l2
MNIST,0.97,35414,354.14,52.21,10,l2
MNIST,0.97,36654,366.54,53.63,11,l2
MNIST,0.97,38015,380.15,55.47,12,l2
MNIST,0.97,39228,392.28,57.21,13,l2
MNIST,0.98,40696,406.96,59.48,14,l2
MNIST,0.98,42039,420.39,61.46,15,l2
MNIST,0.98,43403,434.03,64.98,16,l2
MNIST,0.98,44634,446.34,65.54,17,l2
MNIST,0.98,45914,459.14,67.45,18,l2
MNIST,0.98,47232,472.32,69.6,19,l2
MNIST,0.99,48578,485.78,71.47,20,l2
MNIST,0.99,49834,498.34,74.57,21,l2
MNIST,0.99,51134,511.34,76.04,22,l2
MNIST,0.99,52403,524.03,77.91,23,l2
MNIST,0.99,53682,536.82,79.9,24,l2
MNIST,0.99,55017,550.17,81.85,25,l2
MNIST,0.99,56233,562.33,84.07,26,l2
MNIST,0.99,57481,574.81,85.01,27,l2
MNIST,0.99,58722,587.22,87.23,28,l2
MNIST,0.99,59911,599.11,89.21,29,l2
MNIST,0.99,61185,611.85,91.16,30,l2
MNIST,0.99,62384,623.84,93.09,31,l2
MNIST,0.99,63561,635.61,95.19,32,l2
MNIST,0.99,64772,647.72,96.98,33,l2
MNIST,0.99,66039,660.39,98.47,34,l2
MNIST,0.99,67274,672.74,100.45,35,l2
MNIST,0.99,68345,683.45,102.15,36,l2
MNIST,1.0,69595,695.95,106.14,37,l2
MNIST,1.0,70949,709.49,107.18,38,l2
MNIST,1.0,72035,720.35,107.44,39,l2
MNIST,1.0,73219,732.19,110.41,40,l2
MNIST,1.0,74397,743.97,112.21,41,l2
MNIST,1.0,75501,755.01,113.55,42,l2
MNIST,1.0,76690,766.9,115.34,43,l2
MNIST,1.0,77860,778.6,117.62,44,l2
MNIST,1.0,79040,790.4,118.14,45,l2
MNIST,1.0,80161,801.61,120.83,46,l2
MNIST,1.0,81284,812.84,122.28,47,l2
MNIST,1.0,82327,823.27,122.84,48,l2
MNIST,1.0,83468,834.68,124.6,49,l2
