Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
MNIST,0.9,15321,153.21,66.6,0,l2
MNIST,0.9,16150,161.5,21.75,1,l2
MNIST,0.92,17204,172.04,23.35,2,l2
MNIST,0.93,18053,180.53,24.57,3,l2
MNIST,0.94,19088,190.88,26.39,4,l2
MNIST,0.94,20006,200.06,27.86,5,l2
MNIST,0.95,20831,208.31,28.84,6,l2
MNIST,0.95,21718,217.18,30.33,7,l2
MNIST,0.96,22681,226.81,32.02,8,l2
MNIST,0.96,23492,234.92,35.16,9,l2
MNIST,0.96,24276,242.76,83.45,10,l2
MNIST,0.97,25073,250.73,179.12,11,l2
MNIST,0.97,25933,259.33,201.25,12,l2
MNIST,0.97,26689,266.89,208.14,13,l2
MNIST,0.98,27581,275.81,213.3,14,l2
MNIST,0.98,28448,284.48,223.38,15,l2
MNIST,0.98,29356,293.56,111.93,16,l2
MNIST,0.98,30068,300.68,43.23,17,l2
MNIST,0.98,30943,309.43,44.4,18,l2
MNIST,0.98,31763,317.63,45.89,19,l2
MNIST,0.98,32530,325.3,46.89,20,l2
MNIST,0.98,33349,333.49,48.09,21,l2
MNIST,0.99,34140,341.4,48.92,22,l2
MNIST,0.99,34895,348.95,50.08,23,l2
MNIST,0.99,35709,357.09,51.39,24,l2
MNIST,0.99,36424,364.24,52.49,25,l2
MNIST,0.99,37184,371.84,53.76,26,l2
MNIST,0.99,37865,378.65,54.72,27,l2
MNIST,0.99,38593,385.93,55.45,28,l2
MNIST,0.99,39329,393.29,57.14,29,l2
MNIST,0.99,40098,400.98,58.71,30,l2
MNIST,0.99,40786,407.86,59.47,31,l2
MNIST,0.99,41464,414.64,59.85,32,l2
MNIST,0.99,42278,422.78,61.08,33,l2
MNIST,0.99,43045,430.45,62.38,34,l2
MNIST,0.99,43747,437.47,63.16,35,l2
MNIST,0.99,44460,444.6,64.49,36,l2
MNIST,0.99,45190,451.9,68.04,37,l2
MNIST,1.0,45990,459.9,67.31,38,l2
MNIST,1.0,46643,466.43,68.83,39,l2
MNIST,1.0,47361,473.61,69.05,40,l2
MNIST,1.0,48068,480.68,70.1,41,l2
MNIST,1.0,48761,487.61,72.32,42,l2
MNIST,1.0,49453,494.53,73.5,43,l2
MNIST,1.0,50151,501.51,72.94,44,l2
MNIST,1.0,50839,508.39,73.93,45,l2
MNIST,1.0,51531,515.31,74.89,46,l2
MNIST,1.0,52143,521.43,76.41,47,l2
MNIST,1.0,52792,527.92,76.93,48,l2
MNIST,1.0,53498,534.98,78.42,49,l2
