Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
RU_50100x100,0.4,170283,1702.83,9.05,0,l2
RU_50100x100,0.42,179133,1791.33,15.09,1,l2
RU_50100x100,0.45,188881,1888.81,10.14,2,l2
RU_50100x100,0.48,203881,2038.81,10.96,3,l2
RU_50100x100,0.48,212091,2120.91,11.54,4,l2
RU_50100x100,0.5,221819,2218.19,12.16,5,l2
RU_50100x100,0.51,233625,2336.25,12.91,6,l2
RU_50100x100,0.53,243832,2438.32,13.48,7,l2
RU_50100x100,0.55,253632,2536.32,14.05,8,l2
RU_50100x100,0.56,259953,2599.53,14.53,9,l2
RU_50100x100,0.57,272201,2722.01,15.42,10,l2
RU_50100x100,0.58,281248,2812.48,15.88,11,l2
RU_50100x100,0.6,291176,2911.76,16.44,12,l2
RU_50100x100,0.61,302580,3025.8,17.12,13,l2
RU_50100x100,0.62,311203,3112.03,17.73,14,l2
RU_50100x100,0.63,322036,3220.36,18.39,15,l2
RU_50100x100,0.64,328957,3289.57,18.82,16,l2
RU_50100x100,0.65,336185,3361.85,19.46,17,l2
RU_50100x100,0.66,347935,3479.35,20.24,18,l2
RU_50100x100,0.67,356818,3568.18,21.23,19,l2
RU_50100x100,0.68,365455,3654.55,21.22,20,l2
RU_50100x100,0.68,373885,3738.85,21.74,21,l2
RU_50100x100,0.69,383067,3830.67,22.32,22,l2
RU_50100x100,0.7,390237,3902.37,22.93,23,l2
RU_50100x100,0.7,397586,3975.86,23.29,24,l2
RU_50100x100,0.71,403593,4035.93,23.9,25,l2
RU_50100x100,0.72,416402,4164.02,24.53,26,l2
RU_50100x100,0.73,425054,4250.54,25.07,27,l2
RU_50100x100,0.73,432016,4320.16,25.62,28,l2
RU_50100x100,0.74,440580,4405.8,26.09,29,l2
RU_50100x100,0.75,450552,4505.52,26.83,30,l2
RU_50100x100,0.75,457791,4577.91,27.2,31,l2
RU_50100x100,0.76,464430,4644.3,28.4,32,l2
RU_50100x100,0.76,470358,4703.58,28.36,33,l2
RU_50100x100,0.76,477702,4777.02,29.37,34,l2
RU_50100x100,0.77,487009,4870.09,29.88,35,l2
RU_50100x100,0.78,496665,4966.65,30.54,36,l2
RU_50100x100,0.78,503435,5034.35,31.07,37,l2
RU_50100x100,0.78,511307,5113.07,31.76,38,l2
RU_50100x100,0.79,518936,5189.36,31.85,39,l2
RU_50100x100,0.8,524626,5246.26,31.77,40,l2
RU_50100x100,0.8,535828,5358.28,32.63,41,l2
RU_50100x100,0.8,544930,5449.3,33.29,42,l2
RU_50100x100,0.81,552793,5527.93,33.44,43,l2
RU_50100x100,0.81,560019,5600.19,34.79,44,l2
RU_50100x100,0.81,568395,5683.95,35.07,45,l2
RU_50100x100,0.82,577080,5770.8,35.22,46,l2
RU_50100x100,0.83,584512,5845.12,37.01,47,l2
RU_50100x100,0.83,592657,5926.57,36.79,48,l2
RU_50100x100,0.84,601046,6010.46,37.47,49,l2
RU_50100x100,0.84,607784,6077.84,36.86,50,l2
RU_50100x100,0.84,617312,6173.12,37.63,51,l2
RU_50100x100,0.85,624271,6242.71,38.23,52,l2
