Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
SHUTTLE,0.99,3684,36.84,0.05,0,l2
SHUTTLE,0.99,3823,38.23,0.06,1,l2
SHUTTLE,0.99,4056,40.56,0.06,2,l2
SHUTTLE,0.99,4227,42.27,0.08,3,l2
SHUTTLE,0.99,4426,44.26,0.07,4,l2
SHUTTLE,0.99,4548,45.48,0.06,5,l2
SHUTTLE,0.99,4724,47.24,0.07,6,l2
SHUTTLE,0.99,4844,48.44,0.08,7,l2
SHUTTLE,0.99,5603,56.03,0.06,8,l2
SHUTTLE,0.99,5940,59.4,0.08,9,l2
SHUTTLE,0.99,6197,61.97,0.11,10,l2
SHUTTLE,0.99,6854,68.54,0.1,11,l2
SHUTTLE,0.99,7052,70.52,0.11,12,l2
SHUTTLE,0.99,7205,72.05,0.11,13,l2
SHUTTLE,0.99,7409,74.09,0.13,14,l2
SHUTTLE,0.99,7588,75.88,0.12,15,l2
SHUTTLE,0.99,7759,77.59,0.11,16,l2
SHUTTLE,0.99,7943,79.43,0.13,17,l2
SHUTTLE,0.99,8167,81.67,0.12,18,l2
SHUTTLE,0.99,8326,83.26,0.15,19,l2
SHUTTLE,0.99,8665,86.65,0.14,20,l2
SHUTTLE,0.99,8907,89.07,0.14,21,l2
SHUTTLE,0.99,9178,91.78,0.13,22,l2
SHUTTLE,0.99,9370,93.7,0.14,23,l2
SHUTTLE,0.99,9584,95.84,0.14,24,l2
SHUTTLE,0.99,9751,97.51,0.17,25,l2
SHUTTLE,0.99,9956,99.56,0.17,26,l2
SHUTTLE,0.99,10142,101.42,0.17,27,l2
SHUTTLE,0.99,10297,102.97,0.16,28,l2
SHUTTLE,0.99,10535,105.35,0.16,29,l2
SHUTTLE,0.99,10712,107.12,0.16,30,l2
SHUTTLE,0.99,10886,108.86,0.17,31,l2
SHUTTLE,0.99,11079,110.79,0.16,32,l2
SHUTTLE,0.99,11275,112.75,0.19,33,l2
SHUTTLE,0.99,11489,114.89,0.18,34,l2
SHUTTLE,0.99,11653,116.53,0.18,35,l2
SHUTTLE,0.99,11843,118.43,0.19,36,l2
SHUTTLE,0.99,11998,119.98,0.2,37,l2
SHUTTLE,0.99,12194,121.94,0.2,38,l2
SHUTTLE,0.99,12325,123.25,0.2,39,l2
SHUTTLE,0.99,12466,124.66,0.19,40,l2
SHUTTLE,0.99,12616,126.16,0.19,41,l2
SHUTTLE,0.99,12775,127.75,0.21,42,l2
SHUTTLE,0.99,12971,129.71,0.21,43,l2
SHUTTLE,0.99,13138,131.38,0.21,44,l2
SHUTTLE,0.99,13283,132.83,0.21,45,l2
SHUTTLE,0.99,13419,134.19,0.21,46,l2
SHUTTLE,0.99,13567,135.67,0.22,47,l2
SHUTTLE,0.99,13695,136.95,0.22,48,l2
SHUTTLE,0.99,13804,138.04,0.21,49,l2
