Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
SHUTTLE,0.99,5748,57.48,0.09,0,l2
SHUTTLE,0.99,6087,60.87,0.09,1,l2
SHUTTLE,0.99,6430,64.3,0.09,2,l2
SHUTTLE,0.99,6733,67.33,0.11,3,l2
SHUTTLE,0.99,7079,70.79,0.11,4,l2
SHUTTLE,0.99,7400,74.0,0.11,5,l2
SHUTTLE,0.99,7727,77.27,0.13,6,l2
SHUTTLE,1.0,8048,80.48,0.12,7,l2
SHUTTLE,0.99,8381,83.81,0.14,8,l2
SHUTTLE,0.99,8674,86.74,0.14,9,l2
SHUTTLE,0.99,8983,89.83,0.14,10,l2
SHUTTLE,0.99,9273,92.73,0.16,11,l2
SHUTTLE,0.99,9564,95.64,0.16,12,l2
SHUTTLE,0.99,9888,98.88,0.17,13,l2
SHUTTLE,0.99,10191,101.91,0.17,14,l2
SHUTTLE,0.99,10459,104.59,0.17,15,l2
SHUTTLE,0.99,10793,107.93,0.17,16,l2
SHUTTLE,0.99,11035,110.35,0.19,17,l2
SHUTTLE,0.99,11306,113.06,0.19,18,l2
SHUTTLE,0.99,11594,115.94,0.2,19,l2
SHUTTLE,0.99,11885,118.85,0.21,20,l2
SHUTTLE,0.99,12183,121.83,0.21,21,l2
SHUTTLE,0.99,12431,124.31,0.21,22,l2
SHUTTLE,0.99,12695,126.95,0.21,23,l2
SHUTTLE,0.99,12955,129.55,0.22,24,l2
SHUTTLE,0.99,13231,132.31,0.22,25,l2
SHUTTLE,0.99,13498,134.98,0.22,26,l2
SHUTTLE,0.99,13743,137.43,0.25,27,l2
SHUTTLE,0.99,14001,140.01,0.24,28,l2
SHUTTLE,0.99,14265,142.65,0.24,29,l2
SHUTTLE,1.0,14529,145.29,0.25,30,l2
SHUTTLE,1.0,14773,147.73,0.26,31,l2
SHUTTLE,0.99,15008,150.08,0.25,32,l2
SHUTTLE,0.99,15282,152.82,0.26,33,l2
SHUTTLE,0.99,15507,155.07,0.27,34,l2
SHUTTLE,0.99,15755,157.55,0.27,35,l2
SHUTTLE,0.99,16007,160.07,0.27,36,l2
SHUTTLE,0.99,16265,162.65,0.29,37,l2
SHUTTLE,0.99,16513,165.13,0.27,38,l2
SHUTTLE,0.99,16726,167.26,0.3,39,l2
SHUTTLE,0.99,16966,169.66,0.29,40,l2
SHUTTLE,0.99,17186,171.86,0.3,41,l2
SHUTTLE,0.99,17402,174.02,0.3,42,l2
SHUTTLE,0.99,17630,176.3,0.31,43,l2
SHUTTLE,0.99,17888,178.88,0.31,44,l2
SHUTTLE,0.99,18079,180.79,0.32,45,l2
SHUTTLE,0.99,18325,183.25,0.32,46,l2
SHUTTLE,0.99,18546,185.46,0.33,47,l2
SHUTTLE,0.99,18761,187.61,0.32,48,l2
SHUTTLE,0.99,18997,189.97,0.33,49,l2
