Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
SIFT,0.88,3531,353.1,0.91,0,l2
SIFT,0.89,3850,385.0,1.02,1,l2
SIFT,0.91,4193,419.3,1.08,2,l2
SIFT,0.93,4468,446.8,1.18,3,l2
SIFT,0.94,4766,476.6,1.28,4,l2
SIFT,0.94,5003,500.3,1.32,5,l2
SIFT,0.94,5425,542.5,1.44,6,l2
SIFT,0.94,5744,574.4,1.51,7,l2
SIFT,0.94,5974,597.4,1.64,8,l2
SIFT,0.95,6230,623.0,1.73,9,l2
SIFT,0.95,6529,652.9,1.81,10,l2
SIFT,0.95,6867,686.7,1.9,11,l2
SIFT,0.95,7126,712.6,2.0,12,l2
SIFT,0.96,7371,737.1,2.04,13,l2
SIFT,0.96,7600,760.0,2.1,14,l2
SIFT,0.96,7964,796.4,2.22,15,l2
SIFT,0.97,8169,816.9,2.31,16,l2
SIFT,0.97,8431,843.1,2.39,17,l2
SIFT,0.97,8683,868.3,2.49,18,l2
SIFT,0.97,8936,893.6,2.59,19,l2
SIFT,0.97,9196,919.6,2.6,20,l2
SIFT,0.97,9461,946.1,2.67,21,l2
SIFT,0.97,9631,963.1,2.67,22,l2
SIFT,0.97,9855,985.5,2.76,23,l2
SIFT,0.97,10135,1013.5,2.84,24,l2
SIFT,0.97,10459,1045.9,2.95,25,l2
SIFT,0.98,10717,1071.7,3.01,26,l2
SIFT,0.98,11031,1103.1,3.07,27,l2
SIFT,0.98,11254,1125.4,3.2,28,l2
SIFT,0.98,11566,1156.6,3.27,29,l2
SIFT,0.98,11809,1180.9,3.38,30,l2
SIFT,0.98,12060,1206.0,3.35,31,l2
SIFT,0.98,12301,1230.1,3.43,32,l2
SIFT,0.98,12489,1248.9,3.52,33,l2
SIFT,0.98,12705,1270.5,3.56,34,l2
SIFT,0.98,12946,1294.6,3.65,35,l2
SIFT,0.98,13186,1318.6,3.78,36,l2
SIFT,0.98,13382,1338.2,3.77,37,l2
SIFT,0.98,13744,1374.4,3.89,38,l2
SIFT,0.98,13868,1386.8,3.97,39,l2
SIFT,0.98,14127,1412.7,3.93,40,l2
SIFT,0.98,14354,1435.4,4.03,41,l2
SIFT,0.98,14530,1453.0,4.07,42,l2
SIFT,0.98,14841,1484.1,4.13,43,l2
SIFT,0.98,15039,1503.9,4.17,44,l2
SIFT,0.98,15187,1518.7,4.34,45,l2
SIFT,0.98,15411,1541.1,4.5,46,l2
SIFT,0.98,15756,1575.6,4.46,47,l2
SIFT,0.98,16055,1605.5,4.56,48,l2
SIFT,0.98,16240,1624.0,4.6,49,l2
SIFT,0.98,16375,1637.5,4.68,50,l2
SIFT,0.98,16607,1660.7,4.7,51,l2
SIFT,0.99,16853,1685.3,4.75,52,l2
SIFT,0.99,17131,1713.1,4.78,53,l2
SIFT,0.99,17263,1726.3,4.81,54,l2
SIFT,0.99,17535,1753.5,4.86,55,l2
SIFT,0.99,17631,1763.1,4.86,56,l2
SIFT,0.99,17884,1788.4,5.0,57,l2
SIFT,1.0,18195,1819.5,5.07,58,l2
SIFT,1.0,18416,1841.6,5.12,59,l2
