Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
SIFT,0.88,2547,254.7,0.67,0,l2
SIFT,0.89,2749,274.9,0.7,1,l2
SIFT,0.91,2976,297.6,0.78,2,l2
SIFT,0.93,3181,318.1,0.83,3,l2
SIFT,0.94,3408,340.8,0.89,4,l2
SIFT,0.94,3563,356.3,0.94,5,l2
SIFT,0.94,3843,384.3,1.0,6,l2
SIFT,0.94,4087,408.7,1.08,7,l2
SIFT,0.94,4222,422.2,1.16,8,l2
SIFT,0.95,4442,444.2,1.95,9,l2
SIFT,0.95,4582,458.2,7.15,10,l2
SIFT,0.95,4834,483.4,6.99,11,l2
SIFT,0.95,5008,500.8,7.23,12,l2
SIFT,0.96,5176,517.6,7.51,13,l2
SIFT,0.96,5333,533.3,7.79,14,l2
SIFT,0.96,5553,555.3,7.99,15,l2
SIFT,0.97,5740,574.0,8.45,16,l2
SIFT,0.97,5888,588.8,3.26,17,l2
SIFT,0.97,6087,608.7,1.63,18,l2
SIFT,0.97,6314,631.4,1.65,19,l2
SIFT,0.97,6435,643.5,1.7,20,l2
SIFT,0.97,6616,661.6,1.74,21,l2
SIFT,0.97,6762,676.2,1.8,22,l2
SIFT,0.97,6927,692.7,1.84,23,l2
SIFT,0.97,7084,708.4,1.87,24,l2
SIFT,0.98,7314,731.4,1.93,25,l2
SIFT,0.98,7451,745.1,1.99,26,l2
SIFT,0.98,7663,766.3,2.04,27,l2
SIFT,0.98,7816,781.6,2.08,28,l2
SIFT,0.98,8026,802.6,2.13,29,l2
SIFT,0.98,8154,815.4,2.19,30,l2
SIFT,0.98,8335,833.5,2.25,31,l2
SIFT,0.98,8510,851.0,2.29,32,l2
SIFT,0.98,8617,861.7,2.3,33,l2
SIFT,0.98,8790,879.0,2.37,34,l2
SIFT,0.98,8936,893.6,2.39,35,l2
SIFT,0.98,9083,908.3,2.44,36,l2
SIFT,0.98,9195,919.5,2.48,37,l2
SIFT,0.98,9420,942.0,2.55,38,l2
SIFT,0.98,9506,950.6,2.68,39,l2
SIFT,0.98,9703,970.3,2.72,40,l2
SIFT,0.98,9799,979.9,2.76,41,l2
SIFT,0.98,9968,996.8,2.78,42,l2
SIFT,0.98,10175,1017.5,2.82,43,l2
SIFT,0.98,10303,1030.3,3.14,44,l2
SIFT,0.98,10466,1046.6,2.83,45,l2
SIFT,0.98,10672,1067.2,2.88,46,l2
SIFT,0.98,10788,1078.8,2.91,47,l2
SIFT,0.98,11003,1100.3,3.02,48,l2
SIFT,0.98,11113,1111.3,3.05,49,l2
SIFT,0.98,11239,1123.9,3.09,50,l2
SIFT,0.99,11440,1144.0,3.09,51,l2
SIFT,0.99,11533,1153.3,3.11,52,l2
SIFT,0.99,11706,1170.6,3.17,53,l2
SIFT,0.99,11830,1183.0,3.19,54,l2
SIFT,0.99,11978,1197.8,3.24,55,l2
SIFT,0.99,12122,1212.2,3.34,56,l2
SIFT,0.99,12225,1222.5,3.38,57,l2
SIFT,1.0,12464,1246.4,3.36,58,l2
SIFT,1.0,12648,1264.8,3.49,59,l2
SIFT,1.0,12822,1282.2,3.58,60,l2
SIFT,1.0,12992,1299.2,3.66,61,l2
SIFT,1.0,13078,1307.8,3.72,62,l2
SIFT,1.0,13204,1320.4,3.74,63,l2
SIFT,1.0,13338,1333.8,3.75,64,l2
SIFT,1.0,13464,1346.4,3.85,65,l2
SIFT,1.0,13600,1360.0,3.68,66,l2
SIFT,1.0,13731,1373.1,3.78,67,l2
SIFT,1.0,13920,1392.0,10.24,68,l2
SIFT,1.0,14072,1407.2,6.1,69,l2
SIFT,1.0,14242,1424.2,3.89,70,l2
SIFT,1.0,14368,1436.8,3.88,71,l2
SIFT,1.0,14460,1446.0,3.95,72,l2
SIFT,1.0,14605,1460.5,3.98,73,l2
SIFT,1.0,14705,1470.5,4.0,74,l2
SIFT,1.0,14888,1488.8,4.05,75,l2
SIFT,1.0,15027,1502.7,4.13,76,l2
SIFT,1.0,15142,1514.2,4.13,77,l2
SIFT,1.0,15336,1533.6,4.25,78,l2
SIFT,1.0,15465,1546.5,4.23,79,l2
SIFT,1.0,15554,1555.4,4.21,80,l2
SIFT,1.0,15679,1567.9,4.25,81,l2
SIFT,1.0,15792,1579.2,4.29,82,l2
SIFT,1.0,15985,1598.5,4.37,83,l2
SIFT,1.0,16143,1614.3,4.37,84,l2
SIFT,1.0,16226,1622.6,4.41,85,l2
SIFT,1.0,16367,1636.7,4.42,86,l2
SIFT,1.0,16488,1648.8,4.51,87,l2
SIFT,1.0,16627,1662.7,4.53,88,l2
SIFT,1.0,16755,1675.5,4.53,89,l2
SIFT,1.0,16894,1689.4,4.52,90,l2
SIFT,1.0,17026,1702.6,4.65,91,l2
SIFT,1.0,17143,1714.3,4.71,92,l2
SIFT,1.0,17258,1725.8,4.69,93,l2
SIFT,1.0,17413,1741.3,4.68,94,l2
SIFT,1.0,17541,1754.1,4.78,95,l2
SIFT,1.0,17728,1772.8,4.79,96,l2
SIFT,1.0,17840,1784.0,4.89,97,l2
SIFT,1.0,17954,1795.4,4.88,98,l2
SIFT,1.0,18076,1807.6,4.89,99,l2
