Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
SIFT_SMALL,0.92,21991,219.91,5.33,0,l2
SIFT_SMALL,0.93,23700,237.0,5.76,1,l2
SIFT_SMALL,0.94,25612,256.12,6.4,2,l2
SIFT_SMALL,0.94,27357,273.57,6.8,3,l2
SIFT_SMALL,0.95,29464,294.64,7.36,4,l2
SIFT_SMALL,0.95,31088,310.88,7.78,5,l2
SIFT_SMALL,0.96,33036,330.36,8.31,6,l2
SIFT_SMALL,0.96,34813,348.13,8.78,7,l2
SIFT_SMALL,0.96,36544,365.44,9.24,8,l2
SIFT_SMALL,0.97,38261,382.61,9.64,9,l2
SIFT_SMALL,0.97,40008,400.08,10.11,10,l2
SIFT_SMALL,0.97,41965,419.65,10.64,11,l2
SIFT_SMALL,0.97,43853,438.53,11.14,12,l2
SIFT_SMALL,0.98,45385,453.85,11.48,13,l2
SIFT_SMALL,0.98,47000,470.0,11.93,14,l2
SIFT_SMALL,0.98,48629,486.29,12.36,15,l2
SIFT_SMALL,0.98,50153,501.53,12.71,16,l2
SIFT_SMALL,0.98,51514,515.14,13.05,17,l2
SIFT_SMALL,0.99,53147,531.47,13.47,18,l2
SIFT_SMALL,0.99,54552,545.52,13.88,19,l2
SIFT_SMALL,0.99,56045,560.45,14.3,20,l2
SIFT_SMALL,0.99,57733,577.33,14.67,21,l2
SIFT_SMALL,0.99,59292,592.92,15.09,22,l2
SIFT_SMALL,0.99,60890,608.9,15.59,23,l2
SIFT_SMALL,0.99,62346,623.46,16.02,24,l2
SIFT_SMALL,0.99,63920,639.2,16.34,25,l2
SIFT_SMALL,0.99,65187,651.87,16.63,26,l2
SIFT_SMALL,0.99,66580,665.8,17.05,27,l2
SIFT_SMALL,0.99,68180,681.8,17.56,28,l2
SIFT_SMALL,0.99,69617,696.17,17.83,29,l2
SIFT_SMALL,1.0,71191,711.91,18.25,30,l2
SIFT_SMALL,1.0,72614,726.14,18.69,31,l2
SIFT_SMALL,1.0,73860,738.6,19.06,32,l2
SIFT_SMALL,1.0,75377,753.77,19.57,33,l2
SIFT_SMALL,1.0,76857,768.57,19.8,34,l2
SIFT_SMALL,1.0,78367,783.67,20.15,35,l2
SIFT_SMALL,1.0,79710,797.1,20.5,36,l2
SIFT_SMALL,1.0,80879,808.79,20.8,37,l2
SIFT_SMALL,1.0,82435,824.35,21.15,38,l2
SIFT_SMALL,1.0,83775,837.75,21.58,39,l2
SIFT_SMALL,1.0,85137,851.37,22.19,40,l2
SIFT_SMALL,1.0,86362,863.62,22.27,41,l2
SIFT_SMALL,1.0,87709,877.09,22.69,42,l2
SIFT_SMALL,1.0,89278,892.78,23.28,43,l2
SIFT_SMALL,1.0,90704,907.04,23.33,44,l2
SIFT_SMALL,1.0,91920,919.2,23.8,45,l2
SIFT_SMALL,1.0,93291,932.91,24.11,46,l2
SIFT_SMALL,1.0,94541,945.41,24.7,47,l2
SIFT_SMALL,1.0,95723,957.23,24.78,48,l2
SIFT_SMALL,1.0,97191,971.91,25.1,49,l2
