Dataset,Recall@10,DC,Avg. DC,ST,Lambda,DM
SIFT_SMALL,0.92,18605,186.05,4.5,0,l2
SIFT_SMALL,0.93,20044,200.44,4.81,1,l2
SIFT_SMALL,0.94,21614,216.14,5.34,2,l2
SIFT_SMALL,0.94,23079,230.79,5.87,3,l2
SIFT_SMALL,0.95,24785,247.85,6.13,4,l2
SIFT_SMALL,0.95,26104,261.04,6.37,5,l2
SIFT_SMALL,0.96,27692,276.92,6.83,6,l2
SIFT_SMALL,0.96,29131,291.31,7.16,7,l2
SIFT_SMALL,0.96,30527,305.27,7.78,8,l2
SIFT_SMALL,0.97,31932,319.32,8.25,9,l2
SIFT_SMALL,0.97,33369,333.69,8.58,10,l2
SIFT_SMALL,0.97,34945,349.45,9.01,11,l2
SIFT_SMALL,0.98,36533,365.33,9.09,12,l2
SIFT_SMALL,0.98,37745,377.45,9.39,13,l2
SIFT_SMALL,0.98,39078,390.78,9.87,14,l2
SIFT_SMALL,0.98,40407,404.07,10.04,15,l2
SIFT_SMALL,0.98,41638,416.38,10.4,16,l2
SIFT_SMALL,0.98,42741,427.41,10.71,17,l2
SIFT_SMALL,0.99,44090,440.9,11.01,18,l2
SIFT_SMALL,0.99,45232,452.32,11.3,19,l2
SIFT_SMALL,0.99,46431,464.31,11.82,20,l2
SIFT_SMALL,0.99,47775,477.75,12.09,21,l2
SIFT_SMALL,0.99,48999,489.99,12.4,22,l2
SIFT_SMALL,0.99,50351,503.51,12.64,23,l2
SIFT_SMALL,0.99,51526,515.26,12.92,24,l2
SIFT_SMALL,0.99,52748,527.48,13.31,25,l2
SIFT_SMALL,0.99,53791,537.91,13.34,26,l2
SIFT_SMALL,0.99,54986,549.86,13.89,27,l2
SIFT_SMALL,0.99,56236,562.36,14.28,28,l2
SIFT_SMALL,0.99,57398,573.98,25.74,29,l2
SIFT_SMALL,1.0,58757,587.57,15.02,30,l2
SIFT_SMALL,1.0,59859,598.59,15.2,31,l2
SIFT_SMALL,1.0,60869,608.69,15.47,32,l2
SIFT_SMALL,1.0,62113,621.13,15.9,33,l2
SIFT_SMALL,1.0,63296,632.96,16.24,34,l2
SIFT_SMALL,1.0,64538,645.38,27.84,35,l2
SIFT_SMALL,1.0,65570,655.7,54.21,36,l2
SIFT_SMALL,1.0,66494,664.94,68.49,37,l2
SIFT_SMALL,1.0,67722,677.22,17.13,38,l2
SIFT_SMALL,1.0,68801,688.01,17.48,39,l2
SIFT_SMALL,1.0,69877,698.77,17.63,40,l2
SIFT_SMALL,1.0,70862,708.62,17.95,41,l2
SIFT_SMALL,1.0,71987,719.87,18.33,42,l2
SIFT_SMALL,1.0,73314,733.14,18.49,43,l2
SIFT_SMALL,1.0,74281,742.81,18.75,44,l2
SIFT_SMALL,1.0,75329,753.29,19.1,45,l2
SIFT_SMALL,1.0,76424,764.24,19.35,46,l2
SIFT_SMALL,1.0,77425,774.25,19.62,47,l2
SIFT_SMALL,1.0,78507,785.07,20.23,48,l2
SIFT_SMALL,1.0,79610,796.1,21.1,49,l2
